#misspelt	corrected	error-category
بها ررا	بهار را	0
بهاربه	بهار به	2
بهافت	به افت	2
بهبام	به بام	2
بهبلود	بهبود	1
بهتراست	بهتر است	2
بهترو	بهتر و	2
بهتريین	بهترین	1
بهتور	به طور	0
بهخود	به خود	2
بهده	بعهده	1
بهدولت	به دولت	2
بهرشان	بهر شان	2
بهرشد	به رشد	2
بهرغم	به رغم	2
بهرمند	بهره مند	1
بهره‌کيري	بهره‌گيري	1
بهر‌مند	بهره‌مند	1
بهزه	بهره	1
بهسطح	به سطح	2
بهسمت	به سمت	2
بهطور	به طور	2
بهكار	به كار	2
بهمركز	به مركز	2
بهمعناي	به معناي	1
بهمنظور	به منظور	2
بهمننژيوماهاي	به مننژيوماهاي	2
بهنظر	به نظر	2
بهه	به	1
بههر	به هر	2
بهويژه	به ويژه	2
بهيك	به يك	2
بهچهار	به چهار	2
بو سيله	بوسيله	0
بواطه	بواسطه	1
بواهيم	بخواهيم	1
بوتهها	بوته ها	2
بوجه	بودجه	1
بود ند	بودند	0
بودتد	بودند	1
بودجهمركب	بودجه مركب	2
بوددند	بودند	1
بودكه	بود كه	2
بودنشايعه	بودن شايعه	2
بودهاست	بوده است	2
بورت	بصورت	1
بورد	ببرد	1
بورد	برد	1
بوسيبله	بوسيله	1
بوسيلیه	بوسيله	1
بون	بودن	1
بوه	بوده	1
بويم	برويم	1
بوژه	بویژه	1
بویانوزد	بیاموزند	0
بى‏عدالتىرش	بی عدالتی	0
بي مبالااتي	بي مبالاتي	1
بياتن	بيان	1
بياثر	بي اثر	2
بيادگراي	بنيادگراي	1
بيار	بسيار	1
بياعتمادي	بي اعتمادي	2
بيبان	بيان	1
بيبن	بين	1
بيخوابي	بي خوابي	2
بيس	بيش	1
بيس	بیش	1
بيستر	بيشتر	1
بيشتراست	بيشتر است	2
بيشترمردم	بيشتر مردم	2
بيشنر	بيشتر	1
بيظي	بيضي	1
بيماان	بيماران	1
بيمارسانهاي	بيمارستانهاي	1
بيمارستانه	بيمارستانها	1
بيمارستتان	بيمارستان	1
بيماريخهاي	بيماريهاي	1
بيمري	بيماري	1
بيمصرف	بي مصرف	2
بيمیاريها	بيماريها	1
بينجابه	اینجا به	0
بينديسيم	بينديشيم	1
بينشسان	بينشان	1
بينندة	بيننده	1
بين‌الملي	بين‌المللي	1
بيوتكنولوزي	بيوتكنولوژي	1
بيوسيمي	بيوشيمي	1
بيیتهاي	بیتهاي	1
بي‌سابفه‌اي	بي‌سابقه‌اي	1
بپزیر	بپذیر	1
بگداريد	بگذاريد	1
بگريد	بگیريد	1
بگریند	بگیرند	3
بگشت	برگشت	1
بی یاموزند	بیاموزند	0
بیادرو	پیاده رو	0
بیاذ	بياد	1
بیارون	بیرون	1
بیبضاعتان	بی بضاعتان	2
بیحس	بی حس	2
بیدبون	بیدبن	1
بیذاریم	بیزارم	1
بیسيار	بسيار	1
بیسياري	بسياري	1
بیشنر	بیشتر	1
بینرا	بینوا	1
بینو	بینوا	1
ةستند	هستند	1
تأثيراات	تاثيرات	1
تأثیير	تاثیر	1
تأسير	تاثير	1
تأسيیس	تاسيس	1
تئسعه‌ي	توسعه‌ي	1
تئليد	توليد	1
تااستريل	تا استريل	2
تابا	تا با	2
تابود	نابود	1
تابپ	تایپ	1
تاثيرکذاري	تاثيرگذاري	1
تاثيرگزار	تاثيرگذار	1
تاحد	تا حد	2
تاحدي	تا حدي	2
تاحير	تاخير	1
تادبه	تادیه	1
تاربخهاي	تاریخهاي	1
تاربخي	تاریخي	1
تارخیي‌اي	تاریخي‌اي	3
تارنجي	نارنجي	1
تاروي	تا روي	2
تاريحي	تاريخي	1
تاريخ‌تگاري	تاريخ‌نگاري	1
تارگي	تازگي	1
تازماني	تا زماني	2
تاشا	تماشا	1
تاشديد	تا شديد	2
تاصير	تاثير	1
تاع	تابع	1
تاقت	طاقت	1
تاكبد	تاكید	1
تاكنيكي	تاكتيكي	1
تالب	طالب	1
تالريك	تاريك	1
تالويزيوني	تلويزيوني	1
تاميده	ناميده	1
تامير	تعمير	1
تانايي	توانايي	1
تاند	تواند	1
تانست	توانست	1
تانقطه	تا نقطه	2
تانند	توانند	1
تانين	تامين	1
تايخ	تاريخ	1
تبادلل	تبادل	1
تبثبيت	تثبيت	1
تبديا	تبديل	1
تبسره	تبصره	1
تبعيص	تبعيض	1
تبعيصي	تبعيضي	1
تبغ	تبع	1
تبغه	تیغه	1
تبقات	طبقات	1
تبقه	طبق	0
تبليعاتي	تبليغاتي	1
تبليغلات	تبليغات	1
تبلیق	تبلیغ	1
تبهيه	تهيه	1
تبود	نبود	1
تبيعي	طبيعي	1
تبيل	تبديل	1
تبيیين	تبيين	1
تبیعی	طبیعی	1
تتيب	ترتيب	1
تجار ت	تجارت	0
تجار ى	تجارى	0
تجارن	تجارت	1
تجازي	تجاري	1
تجاورز	تجاوز	1
تجته	تخته	1
تجريه	تجزيه	1
تجسنم	تجسم	1
تجهبز	تجهیز	1
تجهيرات	تجهيزات	1
تجه‌ترين	توجه‌ترين	1
تجول	تحول	1
تجولات	تحولات	1
تجيزه	تجزيه	1
تحاور	تجاوز	1
تحدبيد	تحديد	1
تحديدكننده	تحديد كننده	2
تحصین	تحسین	1
تحقبقات	تحقیقات	1
تحقيفاتي	تحقيقاتي	1
تحقيقا ت	تحقيقات	0
تحقيقاني	تحقيقاتي	1
تحقيقیاتي	تحقيقاتي	1
تحكين	تحكيم	1
تحليیل	تحلیل	1
تحمين	تخمين	1
تحوالات	تحولات	1
تحی	تهی	1
تحیليل	تحليل	1
تخ	تخم	1
تختاني	تحتاني	1
تختهبسيار	تخته بسيار	2
تخمل	تحمل	1
تخمندان	تخمدان	1
تخهمين	تخمين	1
تخويل	تحويل	1
تداد	تعداد	1
تداول	متداول	1
تداونم	تداوم	1
تدبري	تدبیري	1
تدر يج	تدريج	0
تدربج	تدریج	1
تديدي	تهديدي	1
تر انسدوسر	ترانسدوسر	1
تر كيه	تركيه	0
تراحيم	طراحيم	1
ترانزيني	ترانزيتي	1
ترتبيب	ترتيب	1
ترتيلات	ترتيبات	1
ترجهيي	ترجیهی	3
ترحيص	ترخيص	1
ترخ	نرخ	1
تردیيدي	تردیدي	1
ترعيف	تعريف	1
ترف	طرف	1
ترقيب	ترغيب	1
تركب	تركیب	1
تركبه	تركیه	1
تركبيه	تركيه	1
تركنشين	ترك نشين	2
تركيهبراي	تركيه براي	2
تركيهدر	تركيه در	1
تركیيه	تركيه	1
ترمسي	ترسیمی	0
ترمميم	ترميم	1
ترمواستاتبكي	ترمواستاتیكي	1
ترموالتكريك	ترموالكتريك	3
تروريسیم	تروريسم	1
تريتب	ترتیب	3
ترگيه	ترکيه	1
ترگیه	ترکيه	1
تریكيه	تركيه	1
تریيم	ترسيم	1
تزديكترين	نزديكترين	1
تزين	ترين	1
تسادوف	تصادف	0
تسحيل	تسهيل	1
تسديد	تشديد	1
تسديق	تصديق	1
تسريك	تشريك	1
تسكيل	تشكيل	1
تسلبيم	تسليم	1
تسلحاتي	تسلیحاتي	1
تسميمات	تصميمات	1
تسور	تصور	1
تسويب	تصويب	1
تسیليم	تسليم	1
تشان	نشان	1
تشبیح	تشبیه	1
تشتج	تشنج	1
تشخيس	تشخيص	1
تشده	نشده	1
تشديدس	تشديدش	1
تشربح	تشریح	1
تشريه	تشريح	1
تشعسات	تشعشات	1
تشكبل	تشكیل	1
تشويغ	تشويق	1
تشويف	تشويق	1
تشیديدي	تشديدي	1
تشیکل	تشکیل	3
تصاعي	تساعي	1
تصافي	تصادفي	1
تصف	نصف	1
تصمبمي	تصمیمي	1
تصميماني	تصميماتي	1
تصميمگيري	تصميم گيري	2
تصوبر	تصویر	1
تصويبر	تصوير	1
تصویذ	تصویر	1
تصيح	تصحيح	1
تصیوير	تصوير	1
تضادف	تصادف	1
تضاذ	تضاد	1
تضمينحقوق	تضمين حقوق	2
تضیح	توضیح	1
تطبيغ	تطبيق	1
تطیبيق	تطبيق	1
تظام	نظام	1
تظر	نظر	1
تعأخير	تاخير	1
تعاذل	تعادل	1
تعاربف	تعاریف	1
تعاربيف	تعاريف	1
تعارص	تعارض	1
تعاكيد	تاكيد	1
تعبري	تعبیر	3
تعدا	تعداد	1
تعدا د	تعداد	0
تعداي	تعدادي	1
تعر يف	تعريف	1
تعربف	تعریف	1
تعرف	تعریف	1
تعسيس	تاسيس	1
تعضیم	تعظیم	1
تععين	تعیين	1
تعكيدي	تاكيدي	1
تعلیف	تالیف	1
تعمل	تامل	1
تعههد	تعهد	1
تعويز	تعويض	1
تعين	تعيین	1
تعين	تعیين	1
تعيير	تغيير	1
تعيیين	تعيين	1
تعیرات	تغییرات	0
تغاملي	تعاملي	1
تغريف	تعريف	1
تغكر	تفكر	1
تغير	تغيیر	1
تغیرات	تغییرات	1
تفاتي	تفاوتي	1
تفديم	تقديم	1
تفهص	تفحص	1
تفوت	تفاوت	1
تفوذ	نفوذ	1
تفگيك	تفکيك	1
تقاضاهي	تقاضاهاي	1
تقاطیی	تقاضایی	0
تقد	نقد	1
تقدبم	تقدیم	1
تقذيه	تغذيه	1
تقسي	تقسيم	1
تقسير	تقصير	1
تقصيم	تقسيم	1
تقطه	نقطه	1
تقلیه	نقلیه	1
تقوبت	تقویت	1
تكار	تكرار	1
تكاماي	تكاملي	1
تكديب	تكذيب	1
تكمه	دكمه	1
تكنوئلوژي	تكنولوژي	1
تكنولوزي	تكنولوژي	1
تلاسهاي	تلاشهاي	1
تلفبقي	تلفیقي	1
تلفتن	تلفن	1
تلفيغ	تلفيق	1
تلقني	تلفني	1
تلويرزيون	تلويزيون	1
تلويیزيوني	تلویزيوني	1
تلیم	تعلیم	1
تماايل	تمايل	1
تمامن	تماما	1
تمامني	تمامي	1
تماي	تمامي	1
تمرگز	تمرکز	1
تمزكز	تمركز	1
تمصميم	تصميم	1
تمندن	تمدن	1
تمهيدان	تمهيدات	1
تناغض	تناقض	1
تنايج	نتايج	3
تنخها	تنها	1
تنرانسدوسر	ترانسدوسر	1
تنس	تنش	1
تنسهاي	تنشهاي	1
تنصويب	تصويب	1
تنطيم	تنظيم	1
تنطيمات	تنظيمات	1
تنظبمات	تنظیمات	1
تنظيمه	تنظيم	1
تننزيل	تنزيل	1
تننظيم	تنظيم	1
تنکنا	تنگنا	1
تنیظيم	تنظيم	1
تهدديدات	تهديدات	1
تهديات	تهديدات	1
تهديددو	تهديد دو	2
تهديدكننده	تهديد كننده	2
تهديدميكند	تهديد ميكند	2
تهديدهي	تهديدهاي	1
تهرن	تهران	1
تهميینه	تهمینه	1
تهويیه	تهویه	1
تو سط	توسط	0
توئاند	تواند	1
توئسط	توسط	1
تواافقنامه	توافقنامه	1
تواتايي	توانايي	1
تواتد	تواند	1
توارن	توازن	1
توانائي	توانايي	1
توانبد	توانید	1
توانبه	توان به	2
توانستتند	توانستند	1
توانکر	توانگر	1
توجمی	توجهی	1
توجيبه	توجيه	1
توحلات	تحولات	2
توحه	توجه	1
توحيه	توجيه	1
توذه	توده	1
توريع	توزيع	1
توزريع	توزيع	1
توسطظ	توسط	1
توسعهدهد	توسعه دهد	2
توسه	توسعه	1
توصبف	توصیف	1
توصيحات	توضيحات	1
توصیيفي	توصيفي	1
توضبح	توضیح	1
توضيخاتي	توضيحاتي	1
توضیع	توضیح	1
توع	نوع	1
تول	تولد	1
تول	طول	1
تولاني	طولاني	1
تولبد	تولید	1
تولبدات	تولیدات	1
تولبيدي	توليدي	1
توليدكننده	توليد كننده	2
توليدكنندهنفت	توليد كننده نفت	0
تون	توان	1
توند	تواند	1
تونش	تونس	1
تونند	توانند	1
تويدي	توليدي	1
توپردر	توپر در	2
توپولوزي	توپولوژي	1
توچه	توجه	1
تيراهنهاي	تيرآهنهاي	1
تيقه	تيغه	1
تچربيات	تجربيات	1
تژادي	نژادي	1
تگاه	نگاه	1
تگراني	نگراني	1
تگنيك	تکنيك	1
تگه	نگه	1
تیاعد	تباعد	1
تیبر	تبر	1
تیعيين	تعيين	1
ثابق	سابق	1
ثابیت	ثابت	1
ثيا	ثنا	1
ج سعادت	سعادت	0
جائيبكه	جائيكه	1
جابگاهي	جایگاهي	1
جاتبداري	جانبداري	1
جاحلى	جاهلى	1
جادانه	جاودانه	1
جاره	چاره	1
جاصي	خاصي	1
جالش	چالش	1
جالشهاي	چالشهاي	1
جامه‌ي	جامعه‌ي	1
جان بازان	جانبازان	0
جانسين	جانشين	1
جاو دان	جاودان	0
جاوآنها	جاودانی آنها	0
جاوي	حاوي	1
جایيي	جایي	1
جبران نا پذير	جبران ناپذير	0
جتبه	جنبه	1
جتنس	جنس	1
جحاج	حجاج	3
جحاهلى	جاهلى	1
جحبران	جبران	1
جحزئي	جزئي	1
جخداوند	خداوند	1
جخهت	جهت	1
جدابه	جدایه	1
جدابیي	جدایي	1
جداقل	حداقل	1
جداوئل	جداول	1
جدب	جذب	1
جدبد	جدید	1
جدديت	جديت	1
جدس	حدس	1
جدني	چدني	1
جديدد	جديد	1
جديدو	جديد و	2
جذدب	جذب	1
جرا	چرا	1
جربان	جریان	1
جرخش	چرخش	1
جرعت	جرات	1
جركت	حركت	1
جرياناتسياسي	جريانات سياسي	2
جزئایت	جزئیات	3
جزوئيات	جزئيات	1
جست و جو	جستجو	0
جشتها	جشنها	1
جشماني	جسماني	1
جشمگيري	چشمگيري	1
جضرت	حضرت	1
جعبهه	جعبه	1
جكشهاي	چكشهاي	1
جل	حل	1
جلل	جلب	1
جللوگيري	جلوگيري	1
جلوهدهيم	جلوه دهيم	2
جلوگري	جلوگیري	1
جماعغت	جماعت	1
جمخوري	جمهوري	1
جمع‌اوري	جمع‌آوري	1
جمهنوري	جمهوري	1
جمهوريی	جمهوري	1
جنببش	جنبش	1
جنبس	جنبش	1
جنته	چنته	1
جند	چند	1
جنع	جمع	1
جنک	جنگ	1
جنکنده	جنگنده	1
جنگکهاي	جنگ‌هاي	1
جه	چه	1
جها ني	جهاني	0
جهاتگردي	جهانگردي	1
جهارشنبه	چهارشنبه	1
جهارم	چهارم	1
جهاي	جهاني	1
جهعان	جهان	1
جهن	جهان	1
جوا ببه	جواب به	0
جوادثي	حوادثي	1
جوبي	جنوبي	1
جياني	جرياني	1
جيدى	جديدى	1
جيديد	جديد	1
جيز	چيز	1
جيوانات	حيوانات	1
جچبران	جبران	1
جچنين	چنين	1
جگونگي	چگونگي	1
جیار	جبار	1
حا ل	حال	0
حا لت	حالت	0
حات	حالت	1
حادثهاي	حادثه اي	2
حاسيه	حاشيه	1
حاص	خاص	1
حاصر	حاضر	1
حافطه	حافظه	1
حالب	حال	1
حامالان	حاملان	1
حامدات	جامدات	1
حان	جان	1
حايكه	حاليكه	1
حبات	حیات	1
حبندگى	بندگى	1
حتا	حتی	1
حتيمرگ	حتي مرگ	1
حجبم	حجیم	1
ححجم	حجم	1
ححيثيت	حيثيت	1
حدا	جدا	1
حدااكثري	حداكثري	1
حدافل	حداقل	1
حداقلپوشش	حداقل پوشش	2
حداكثند	حداكثرند	1
حدد	حدود	1
حدشه	خدشه	1
حدف	حذف	1
حدفاصلي	حد فاصلي	2
حدمات	خدمات	1
حديدتر	جديدتر	1
حديدي	جديدي	1
حديك	حد يك	2
حذلف	حذف	1
حر كت	حركت	0
حراب	خراب	1
حرات	حرارت	1
حرارات	حرارت	1
حرارتني	حرارتي	1
حراغ	چراغ	1
حرامشد	حرام شد	2
حرت	حدت	1
حرج	هرج	1
حرفت ها	حرفها	0
حرفتم	حرفم	1
حركن	حركت	1
حرگم	حرکت	0
حزكت	حركت	1
حزيره	جزيره	1
حسادني	حسادتي	1
حساسمان	حسابمان	1
حستند	هستند	1
حسته	خسته	1
حس‌کرهاي	حس‌گرهاي	1
حشاسيت	حساسيت	1
حشن	جشن	1
حصاب	حساب	1
حصيصه	خصيصه	1
حضر	حضور	1
حط	خط	1
حظور	حضور	1
حغ	حق	1
حف	حرف	1
حفاطت	حفاظت	1
حفايق	حقايق	1
حفط	حفظ	1
حفوق	حقوق	1
حقيقیي	حقيقی	1
حكمرني	حكمراني	1
حكموت	حكومت	1
حلوي	جلوي	1
حمان	همان	1
حماهير	جماهير	1
حمبل	حمل	1
حمصلحت	مصلحت	1
حمع	جمع	1
حمعه	جمعه	1
حملهاي	حمله اي	2
حملو	حمل و	2
حمهور	جمهور	1
حموار	هموار	1
حنتي	حتي	1
حنجال‌برانگيزي	جنجال‌برانگيزي	1
حنسي	جنسي	1
حنگام	هنگام	1
حواستار	خواستار	1
حواندن	خواندن	1
حواي	خواي	1
حوايش	حواسش	1
حود	حدود	1
حود	حول	1
حود	خود	1
حورشید	خورشید	1
حوره	حوزه	1
حوزره	حوزه	1
حوش	خوش	1
حويت	هويت	1
حيانات	حيوانات	1
حيباتى	حياتى	1
حيلي	خيلي	1
حیابان	خیابان	1
خا	خاک	1
خاب	خواب	1
خابق	خالق	1
خاتنمه	خاتمه	1
خار جي	خارجي	0
خاراج	خارج	3
خارجاز	خارج از	2
خارح	خارج	1
خارحي	خارجي	1
خارميانه	خاورميانه	1
خارچ	خارج	1
خارچه	خارجه	1
خازجه‌ي	خارجه‌ي	1
خاس	خاص	1
خاستار	خواستار	1
خاستند	خواستند	1
خاسته	خواسته	1
خاسیت	خاصیت	1
خاشيه	حاشيه	1
خاض	خاص	1
خاضی	خاصی	1
خاضیت	خاصیت	1
خاظر	خاطر	1
خاكسنري	خاكستري	1
خاكي	حاكي	1
خاللي	خالي	1
خاند	خواند	1
خاندات	خاندان	1
خاندن	خواندن	1
خانده	خوانده	1
خانشان	جانشان	1
خانها‌هاي	خانه هاي	0
خانوادع	خانواده	1
خانکي	خانگي	1
خاه	خواه	1
خاهان	خواهان	1
خاهد	خواهد	1
خاهند	خواهند	1
خاهيد	خواهيد	1
خاهيم	خواهيم	1
خاورمياته	خاورميانه	1
خاورميامه	خاورميانه	1
خاوميانه	خاورميانه	1
خاوند	خداوند	1
خايي	جایی	1
خبرتگاران	خبرنگاران	1
خبز	خیز	1
خبى	خوبى	1
خت	سخت	1
خترناك	خطرناك	1
ختي	حتي	1
ختی	حتی	1
خجاص	خاص	1
خحرپا	خرپا	1
خد	حد	1
خد	خود	1
خدا وند	خداوند	0
خدالت	دخالت	3
خداود	خداوند	1
خداوندخ	خداوند	1
خداونده	خداوند	1
خدداري	خودداري	1
خدسه‏ناپذير	خدشه‏ناپذير	1
خدف	هدف	1
خدمتا	خدمات	3
خدود	حدود	1
خديج	خديجه	1
خر يد	خريد	0
خرجه	خارجه	1
خريداريشود	خريداري شود	2
خريق	حريق	1
خرچ‌تر	خرج‌تر	1
خزار	هزار	1
خزوج	خروج	1
خصارت	خسارت	1
خصوصبت	خصوصیت	1
خصوص‌سازي	خصوصی‌سازي	1
خضرت	حضرت	1
خط ر	خطر	0
خطرتاك	خطرناك	1
خطكش	خط كش	2
خطوطوي	خطوطي	1
خطیي	خطی	1
خظر	خطر	1
خق	حق	1
خلاسه	خلاصه	1
خلاسه‌سازي	خلاصه‌سازي	1
خلباتان	خلبانان	1
خلصه	خلاصه	1
خلكستري	خاكستري	1
خللافت	خلافت	1
خليح	خليج	1
خمايت	حمايت	1
خنرمندان	هنرمندان	1
خهدف	هدف	1
خو د	خود	0
خوئدمان	خودمان	1
خوابد	خوابند	1
خواحان	خواهان	1
خواد	جواد	1
خواده	خوانده	1
خوارویار	خواروبار	1
خواس	خواست	1
خواسنه	خواسته	1
خواض	خواص	1
خواطر	خاطر	1
خواكستري	خاكستري	1
خوانه	خانه	1
خواهتد	خواهند	1
خواهدشد	خواهد شد	2
خواهذ	خواهد	1
خواهیس	خواهی	1
خواورميانه	خاورميانه	1
خوبیي	خوبی	1
خوداري	خودداري	1
خودبه	خود به	2
خوددر	خود در	2
خودرا	خود را	2
خودس	خودش	1
خودشا	خودشان	1
خودكا ر	خودكار	0
خوده	خورده	1
خودگندم	خود گندم	2
خورشك	خود شك	0
خورشي	خورشيد	1
خورشيذي	خورشيدي	1
خورگي	خوردگي	1
خوزستنان	خوزستان	1
خوزشتان	خوزستان	1
خوس	خوش	1
خوش حال	خوشحال	0
خوشبتانه	خوشبختانه	1
خوشحوراكي	خوشخوراكي	1
خوشهگندم	خوشه گندم	2
خوصوص	خصوص	1
خوصوصيات	خصوصيات	1
خوكار	خودكار	1
خونربزي	خونریزي	1
خونشردي	خونسردي	1
خوود	خود	1
خويتي	هويتي	1
خويشاندان	خويشاوندان	1
خيابي	خيالي	1
خيبلي	خيلي	1
خيرخاهانه	خيرخواهانه	1
خيلبي	خيلي	1
خيي	خيلي	1
د اشته	داشته	1
د امن	دامن	0
د انستن	دانستن	0
د ر	در	0
د راثر	در اثر	0
د راين	دراين	0
د رسخنوري	در سخنوري	2
د ركودكان	در كودكان	2
د رميان	درميان	0
د ستگاههاي	دستگاههاي	0
دئستانه	دوستانه	1
دا	داد	1
دا منه	دامنه	0
داتش	دانش	1
داتشجويان	دانشجويان	1
داتی	دانی	1
داحلي	داخلي	1
داخالي	داخلي	1
دادت	دادن	1
دادتند	دادند	1
دادر	دارد	3
دادكه	داد كه	2
دادنه	دانه	1
دادهد	دادند	1
دادهمي	داده مي	2
داده‌ه	داده‌	1
دادو	داد و	2
داذن	دادن	1
دار د	دارد	0
دارارب	داراب	1
دارامي	دارا مي	2
داراند	دارند	1
داردالبته	دارد البته	2
دارده	داره	1
دارروسازي	داروسازي	1
دارن	دارند	1
دازا	دارا	1
دازد	دارد	1
داستن	داشتن	1
داستند	داشتند	1
داسشتن	داشتن	1
داسشته	داشته	1
داشتتنزيل	داشت تنزيل	2
داشتنه	داشته	1
داشنتد	داشتند	3
داشنته	داشته	1
داع	داغ	1
دالخي	داخلي	3
دامنهنمونه	دامنه نمونه	2
دانس	دانش	1
دانست ند	دانستند	0
دانسمندان	دانشمندان	1
دانسنتند	دانستند	1
دانشته	دانسته	1
دانشحويان	دانشجويان	1
دانشگده	دانشگده	1
داه	داده	1
داي	داري	1
دايركرده	داير كرده	2
دايرگتوري	دايرکتوري	1
دایشت	داشت	1
دبدند	دیدند	1
دبپلماسي	دیپلماسي	1
دبگر	دیگر	1
دبگري	دیگري	1
دجار	دچار	1
دحه	دهه	1
دخابتي	دخالتي	1
دخلي	داخلي	1
ددست	دست	1
ددو	دو	1
دذر	در	1
در باره	درباره	0
در صد	درصد	0
در ون	درون	0
در يافت	دريافت	0
درآغاز	در آغاز	2
درآمدند	در آمدند	3
درآن	در آن	2
درآورد	در آورد	2
درآوريد	در آوريد	2
درآيند	در آيند	2
دراتاق	در اتاق	2
دراد	دارد	3
درارند	دارند	1
درازیاي	درازاي	1
درامور	در امور	2
دراند	دارند	3
درايران	در ايران	2
دراين	در اين	2
دراينجا	در اينجا	2
درباه	درباره	1
دربرابر	در برابر	2
دربردارنده	در بردارنده	2
دربرگيرد	دربر گيرد	2
دربسياري	در بسياري	2
دربيافت	دريافت	1
دربيمارستانهاي	در بيمارستانهاي	2
درتاريخ	در تاريخ	2
درجحات	درجات	1
درجلوگيري	در جلوگيري	2
درجمعيت	در جمعيت	2
درجهان	در جهان	2
درجهت	در جهت	2
درحال	در حال	0
درحال	در حال	2
درحالي	در حالي	2
درحاليكه	در حاليكه	2
درحد	در حد	2
درحدود	در حدود	2
درخارج	در خارج	2
درخاست	درخواست	1
درخاستهاي	درخواستهاي	1
درخدمت	در خدمت	2
درخصوص	در خصوص	2
درخود	در خود	2
درداخل	در داخل	2
دردايركتوري	در دايركتوري	2
دردست	در دست	2
دردو	در دو	2
دردوران	در دوران	2
درراه	در راه	2
دررباى	در رباى	2
درزمينه	در زمينه	2
درسال	در سال	2
درسد	درصد	1
درسر	در سر	2
درشكل	در شكل	2
درشمال	در شمال	2
درصدد	در صدد	2
درصف	در صف	2
درصورتي	در صورتي	2
درطرح	در طرح	2
درطول	در طول	2
درعين	در عين	2
درغياب	در غياب	2
درغير	در غير	2
درفلسطين	در فلسطين	2
درقبال	در قبال	2
درقرن	در قرن	2
درقسمت	در قسمت	2
دركابينه‌ي	در كابينه‌ي	2
دركارشناسي	در كارشناسي	2
دركاهش	در كاهش	2
دركتاب	در كتاب	2
دركرج	در كرج	2
دركمر	در كمر	2
دركنار	در كنار	2
درمثال	در مثال	2
درمحل	در محل	2
درمد	درآمد	1
درمدار	در مدار	2
درمزارع	در مزارع	2
درمقايسه	در مقايسه	2
درمناطق	در مناطق	2
درمناطقي	در مناطقي	2
درمنطقه	در منطقه	2
درمورد	در مورد	2
درمي	در مي	2
درنتيجه	در نتيجه	2
درنهادها	در نهادها	2
درنهايت	در نهايت	2
درني	دروني	1
درنيمه	در نيمه	2
درهر	در هر	2
درهنگام	در هنگام	2
درواقع	در واقع	2
درواكنش	در واكنش	2
درواكنشهاي	در واكنشهاي	2
دروان	دوران	3
دروره	دوره	1
دروى	دوری	3
درياحه	درياچه	1
درياقت	دريافت	1
دريبايي	دريايي	1
دريجه	دريچه	1
دريغسان	دريغشان	1
درپي	در پي	2
درچارچوب	در چارچوب	2
درچهار	در چهار	2
درگا	درگاه	1
درگذشته	در گذشته	2
درگروه	در گروه	2
درگروهي	در گروهي	2
درگلخانه	در گلخانه	2
درگندم	در گندم	2
دریچ	دریچه	1
دزر	در	1
دزس	درس	1
دزهايي	دژهايي	1
دستانها	دبستانها	1
دستت	دست	1
دستدادن	دست دادن	2
دستر سي	دسترسي	0
دسترسیي	دسترسي	1
دستمرزد	دستمزد	1
دستهبندي	دسته بندي	2
دستورهي	دستورهاي	1
دستکاه	دستگاه	1
دست‌اندكاران	دست‌اندركاران	1
دست‌بابي	دست‌یابي	1
دست‌يبي	دست‌يابي	1
دسنيابي	دستيابي	1
دسوار	دشوار	1
دشاوری	دشواری	3
دشیاری	دشواری	1
دفاغ	دفاع	1
دفانر	دفاتر	1
دفنري	دفتري	1
دقاعيه	دفاعيه	1
دقبقا	دقیقا	1
دقيبقا	دقيقا	1
دقيفه	دقيقه	1
دكر	ذكر	1
دلايلل	دلايل	1
دلايیل	دلایل	1
دلبل	دلیل	1
دلتي	دولتي	1
دلحره	دلهره	1
دلخوه	دلخواه	1
دلده	داده	1
دلرد	دارد	1
دمایالا	دما بالا	0
دمشف	دمشق	1
دموگرات	دموکرات	1
دنبا ل	دنبال	0
دند	دهند	1
دنيار	دنيا	1
دهبد	دهید	1
دهبید	دهید	1
دهتده	دهنده	1
دهدكه	دهد كه	2
دهزياد	دهد زياد	0
دهسم	دهیم	1
دهشام	دهد هشام	0
دهندکان	دهندگان	1
ده‌ي	دهه‌ي	1
دو ماد	دوماد	0
دواردهم	دوازدهم	1
دوان	دوران	1
دوب	ذوب	1
دوبار ه	دوباره	0
دوبارة	دوباره	1
دوبراه	دو برابر	0
دوبين	دوربين	1
دوتا	دو تا	2
دوراان	دوران	1
دورباره	دوباره	2
دورباسن	دور باسن	2
دورتربن	دورترین	1
دورجاز	دور از	0
دورد	درود	3
دورل	دول	1
دورنکي	دورنگي	1
دورودگری	درودگری	1
دوسنتانه	دوستانه	1
دوطرف	دو طرف	2
دوفك	دو فك	2
دوقد	دو قد	2
دوكشور	دو كشور	2
دولايه	دو لايه	2
دولنتي	دولتي	1
دولنمردان	دولتمردان	1
دولني	دولتي	1
دونفر	دو نفر	2
دوهت	دوخت	1
دووم	دوم	1
دوومين	دومين	1
دوي	دوري	1
دويا	دو يا	2
دوچار	دچار	1
ديافت	دريافت	1
ديتاگرام	دياگرام	1
ديداركرد	ديدار كرد	2
ديداز	ديدار	1
ديدتار	ديدار	1
ديدرارها	ديدارها	1
ديربنه	ديرینه	1
ديرنر	ديرتر	1
ديزيتال	ديجيتال	1
دينااميكي	ديناميكي	1
دينامبكي	دينامیكي	1
ديناميبك	ديناميك	1
ديندارن	دينداران	1
ديپبماتيك	ديپلماتيك	1
